symbol,primary_exchange_,bbg_prim_exch_symbol,short_name,industry_sector,industry_group,offering_type,pre/post,launch_date,px_date,start_date,"book_build_
days",uop,left_lead,active_book,co-managers,anncd_shares,priced_shares,upsize?,anncd_proceeds,"pre_shoe
_proceeds",type,pe_sellers,pricing,"dilution_
float",dilution_so,volume_avg_3m,deal_size_vs_adv,eqy_float,eqy_sh_out,short_int,dtc,si_percent_equity_float,beta,cur_mkt_cap,curr_entp_val,median_pt,pt_vs_launch_px,px_official_close,px_open,last_price,gap_%,chg_pct_5d,chg_pct_1m,change_from_ap,px_disc_from_launch,px_disc_from_open,trade_date,pricing_day_close,"subscription
_multiple_",mkting_vwap,"pre_open
_volume","pre_open_volume
_%_of_deal",td_open,"td_open_

vs_deal","td_open_vs_
pd_close",open_print_%,td_low_px,"td_low_px_
vs_deal",break,td_close,"td_close

vs_deal","td_close_
vs
pd_close","td_close
_
vs_td_open","td_vwap_
vs_deal","td_volume_
mkt_hours","mkt_hours_volume_
%_of_deal",td_total_volume,"td_volume_as_
%_of_priced_shares"
TTD US Equity,UQ Equity,TTD UUQ Equity,TRADE DESK INC-A,Communications,Advertising,Sec,pre,2/21/2017,2/27/2017,2/21/2017,5,Selling SHs,CITI,JEFF RBC RJ NEED,0,5,6.3,upsized,$177.50 ,$223.65 ,Secondary,No,$35.50 ,50.08%,11.82%,"474,583",10.54,9.99,10.26,"1,258,049",2.65,23.44%,4.35,"$1,269.80 ","$1,162.25 ",$39.00 ,20%,$32.41 ,$33.36 ,,2.93%,,,,9.53%,6.41%,2/28/2017,$36.83 ,5,$35.96 ,"431,174",6.84%,$38.11 ,7.35%,3.48%,,$37.76 ,6.37%, NO ,$42.21 ,18.90%,14.61%,10.76%,13.62%,"3,977,038",63.13%,"4,408,212.00",70.00%
SND US Equity,UW Equity,SND UUW Equity,SMART SAND INC,Basic Materials,Mining,Sec,post,1/31/2017,2/1/2017,2/1/2017,1,Selling SH/GCP,CS,GS,5,4,6,upsized,$87.50 ,$105.00 ,Both,Yes,$17.50 ,28.25%,10.23%,"539,489",7.41,14.16,39.12,"847,414",1.57,5.99%,1.13,$680.62 ,$610.45 ,$20.00 ,15%,$17.40 ,$16.89 ,,-2.93%,,,,0.57%,3.61%,2/2/2017,$17.65 ,5,$17.39 ,"352,252",5.87%,$18.23 ,4.17%,3.29%,,$17.42 ,-0.46%, YES ,$17.56 ,0.34%,-0.51%,-3.68%,0.94%,"5,028,812",83.81%,"5,381,064.00",89.70%
TDOC US Equity,UN Equity,TDOC UN Equity,TELADOC INC,"Consumer, Non-cyclical",Healthcare-Services,Sec,post,1/17/2017,1/18/2017,1/18/2017,1,GCP/Selling SHs,JPM,WBLR WFC PJ,2,7.25,8.25,upsized,$121.44 ,$138.19 ,Both,Yes,$16.75 ,28.42%,15.69%,"551,925",13.14,25.51,46.2,"10,088,080",18.28,39.82%,1.27,$803.94 ,$823.31 ,$24.00 ,38%,$17.40 ,$16.50 ,,-5.17%,,,,-3.74%,1.52%,1/19/2017,$17.00 ,5,$16.53 ,"532,779",6.46%,$18.00 ,7.46%,5.88%,,$17.85 ,6.57%, NO ,$18.40 ,9.85%,8.24%,2.22%,11.49%,"4,272,955",51.79%,"4,805,734.00",58.30%
MIME US Equity,UW Equity,MIME UW Equity,MIMECAST LTD,Communications,Internet,Sec,post,9/26/2016,9/28/2016,9/27/2016,2,GCP,JPM,RBC JEFF GS BARC,2,4,4,no change,$66.00 ,$66.00 ,Primary,No,$16.50 ,18.75%,7.38%,"300,221",13.32,21.34,54.22,"77,952",0.26,0.37%,1.26,$856.62 ,$777.08 ,$16.00 ,1%,$15.80 ,$14.80 ,,-6.33%,,,,4.43%,11.49%,9/29/2016,$17.29 ,5,$16.46 ,"437,163",10.93%,$18.74 ,13.58%,8.39%,,$18.50 ,12.12%, NO ,$19.10 ,15.76%,10.47%,1.92%,15.98%,"3,107,179",77.68%,"3,544,342.00",88.60%
SAGE US Equity,UQ Equity,SAGE UQ Equity,SAGE THERAPEUTIC,"Consumer, Non-cyclical",Biotechnology,Sec,post,9/7/2016,9/8/2016,9/8/2016,1,Drug Development,GS,JPM,0,3.75,4.4,upsized,$150.00 ,$174.90 ,Primary,No,$39.75 ,14.10%,11.68%,"623,172",6.02,26.6,32.09,"4,400,662",7.06,16.54%,1.84,"$1,326.77 ","$1,040.99 ",$74.00 ,79%,$41.34 ,$39.52 ,,-4.40%,,,,-3.85%,0.58%,9/9/2016,$40.27 ,5,$39.58 ,"342,799",7.79%,$41.77 ,5.08%,3.72%,,$39.00 ,-1.89%, YES ,$39.01 ,-1.86%,-3.13%,-6.61%,2.26%,"2,905,949",66.04%,"3,248,748.00",73.80%
GBT US Equity,UW Equity,GBT UUW Equity,GLOBAL BLOOD THE,"Consumer, Non-cyclical",Pharmaceuticals,Sec,pre,6/20/2016,6/20/2016,6/20/2016,1,Drug Development,JPM,MS ,2,6,6.4,upsized,$112.50 ,$120.00 ,Primary,No,$18.75 ,42.56%,14.51%,"628,850",9.54,14.1,30.53,"2,386,755",3.8,16.93%,1.78,$544.38 ,$410.39 ,$66.00 ,270%,$17.83 ,$17.61 ,,-1.23%,,,,5.16%,6.47%,6/21/2016,$18.94 ,5,$19.20 ,"665,581",10.40%,$19.41 ,3.52%,2.48%,,$17.83 ,-4.91%, YES ,$18.85 ,0.53%,-0.48%,-2.89%,-1.16%,"6,676,939",104.33%,"7,342,520.00",114.70%
MPSX US Equity,#N/A Real Time Equity,MPSX #N/A Real Time Equity,MULTI PACKAGING,Industrial,Packaging&Containers,Sec,pre,5/31/2016,6/2/2016,5/31/2016,2,Selling SHs,BAML,BARC CITI CS UBS GS,2,10,10,no change,$145.00 ,$145.00 ,Secondary,Yes,$14.50 ,49.95%,13.09%,"587,246",17.03,20.02,77.45,"627,068",1.07,3.13%,1.15,"$1,242.35 ","$2,144.99 ",$18.00 ,12%,$16.04 ,$15.64 ,,-2.49%,,,,-9.60%,-7.29%,6/3/2016,$14.94 ,5,$15.28 ,"787,345",7.87%,$15.30 ,5.52%,2.41%,,$14.92 ,2.90%, NO ,$15.13 ,4.34%,1.27%,-1.11%,4.07%,"4,548,153",45.48%,"5,335,498.00",53.40%
SJI US Equity,UN Equity,SJI UUN Equity,SOUTH JERSEY IND,Utilities,Gas,Sec,post,5/10/2016,5/12/2016,5/11/2016,2,,JPM,MS GUGG,4,6.5,7,upsized,$170.63 ,$183.75 ,Primary,No,$26.25 ,9.16%,9.10%,"418,062",15.55,70.96,78.43,"3,335,511",7.88,4.71%,0.65,"$2,013.49 ","$3,344.27 ",$31.00 ,10%,$28.19 ,$28.00 ,,-0.67%,,,,-6.88%,-6.25%,5/13/2016,$26.73 ,5,$26.88 ,"773,962",11.06%,$27.77 ,5.79%,3.89%,,$27.50 ,4.76%, NO ,$28.67 ,9.22%,7.26%,3.24%,,"6,944,175",99.20%,"7,376,751.00",105.40%
OLLI US Equity,UQ Equity,OLLI UQ Equity,OLLIE'S BARGAIN,"Consumer, Cyclical",Retail,Sec,post,2/16/2016,2/18/2016,2/17/2016,2,,JPM,JEFF BAML PJ CS RBC KEYB ,0,6.5,7.87,upsized,$128.38 ,$155.43 ,Secondary,Yes,$19.75 ,61.06%,11.11%,"666,699",9.75,10.65,58.51,"4,524,459",6.65,42.50%,0.76,"$1,243.99 ","$1,356.00 ",$23.00 ,8%,$21.26 ,$20.13 ,,-5.32%,,,,-7.10%,-1.89%,2/19/2016,$20.89 ,5,$21.21 ,"566,187",7.19%,$20.69 ,4.76%,-0.96%,,$20.64 ,4.51%, NO ,$21.00 ,6.33%,0.53%,1.50%,,"4,752,109",60.38%,"5,021,983.00",63.80%
HDP US Equity,#N/A Real Time Equity,HDP U#N/A Real Time Equity,HORTONWORKS INC,Technology,Software,Sec,pre,2/1/2016,2/1/2016,2/1/2016,1,,GS,CS RBC,3,8.43,8.43,no change,$80.09 ,$80.09 ,Primary,No,$9.50 ,36.74%,16.96%,"613,460",13.74,22.95,46.36,"5,426,416",8.8,23.65%,0.68,$449.70 ,$355.39 ,$28.50 ,194%,$9.70 ,$9.50 ,,-2.06%,,,,-2.06%,0.00%,2/2/2016,$10.40 ,5,$10.13 ,"721,006",8.55%,$11.07 ,16.53%,6.44%,,$10.03 ,5.58%, NO ,$10.38 ,9.26%,-0.19%,-6.23%,,"5,605,373",66.49%,"5,804,672.00",68.90%
LOXO US Equity,#N/A Real Time Equity,LOXO #N/A Real Time Equity,LOXO ONCOLOGY IN,"Consumer, Non-cyclical",Biotechnology,Sec,post,11/10/2015,11/11/2015,11/11/2015,1,Drug Development,CITI,COWN,3,2,2.5,upsized,$53.00 ,$66.25 ,Primary,No,$26.50 ,34.68%,11.99%,"259,442",7.71,5.77,16.69,"636,382",2.45,11.04%,1.51,$446.39 ,$368.49 ,$30.00 ,12%,$26.75 ,$27.56 ,,3.03%,,,,-0.93%,-3.85%,11/12/2015,$27.94 ,5,$27.71 ,"51,721",2.07%,$27.10 ,2.26%,-3.01%,,$27.00 ,1.89%, NO ,$27.74 ,4.68%,-0.72%,2.36%,,"1,270,589",50.82%,"1,328,853.00",53.20%
MRTX US Equity,UW Equity,MRTX UW Equity,MIRATI THERAPEUT,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,9/14/2015,9/15/2015,9/15/2015,2,Drug Development,CITI,LEER BARC,0,2.25,2.25,no change,$101.25 ,$101.25 ,Primary,No,$45.00 ,20.86%,13.71%,"161,358",13.94,10.78,18.6,"629,179",3.9,6.17%,1.18,$759.83 ,$765.76 ,$47.50 ,3%,$46.29 ,$44.75 ,,-3.33%,,,,-2.79%,0.56%,9/16/2015,$47.70 ,5,$48.71 ,"76,710",3.41%,$46.70 ,3.78%,-2.10%,,$44.26 ,-1.64%, YES ,$44.34 ,-1.47%,-7.04%,-5.05%,,"2,198,081",97.69%,"840,070.00",37.30%
NDRM US Equity,#N/A Real Time Equity,NDRM #N/A Real Time Equity,NEURODERM LTD,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,7/13/2015,7/15/2015,7/14/2015,2,Drug Development,JEFF,COWN ,2,3.34,3.93,upsized,$52.17 ,$66.81 ,Primary,No,$17.00 ,60.06%,19.65%,"230,779",14.47,5.56,17,"204,361",0.89,3.98%,-0.27,$272.97 ,$257.50 ,$20.00 ,25%,$16.06 ,$15.89 ,,-1.06%,,,,5.85%,6.99%,7/16/2015,$17.31 ,5,$16.30 ,"235,162",5.98%,$18.33 ,7.82%,5.89%,,$17.85 ,5.00%, NO ,$18.63 ,9.59%,7.63%,1.64%,,"3,298,695",83.94%,"3,307,698.00",84.20%
RARE US Equity,UW Equity,RARE UW Equity,ULTRAGENYX PHARM,"Consumer, Non-cyclical",Biotechnology,Sec,post,7/14/2015,7/15/2015,7/15/2015,1,Drug Development,MS,JPM COWN,2,2.08,2.2,upsized,$250.00 ,$264.00 ,Primary,No,$120.00 ,7.67%,5.78%,"598,032",3.48,27.16,36.07,"1,901,587",3.18,7.05%,1.18,"$4,572.80 ","$4,226.21 ",$99.50 ,-22%,$126.77 ,$123.50 ,,-2.58%,,,,-5.34%,-2.83%,7/16/2015,$126.20 ,5,$129.11 ,"110,571",5.03%,$124.50 ,3.75%,-1.35%,,$121.91 ,1.59%, NO ,$124.87 ,4.06%,-1.05%,0.30%,,"2,266,926",103.04%,"2,269,906.00",103.20%
SPB US Equity,UN Equity,SPB UUN Equity,SPECTRUM BRANDS,Diversified,Holding Companies-Divers,Sec,post,5/11/2015,5/13/2015,5/12/2015,2,Acq,CS,DB JEFF WFC BARC BAML,0,5.41,5.41,no change,$500.00 ,$500.43 ,Primary,No,$92.50 ,25.10%,10.15%,"434,162",12.46,21.56,53.3,"704,096",1.62,3.27%,0.85,"$2,387.66 ","$8,322.27 ",$85.39 ,16%,$73.61 ,$73.24 ,,-0.51%,,,,25.66%,26.30%,5/14/2015,$93.63 ,5,$73.85 ,"229,208",4.24%,$95.25 ,2.97%,1.73%,,$94.00 ,1.62%, YES ,$94.12 ,1.75%,0.52%,-1.19%,,"1,820,592",33.65%,"1,843,092.00",34.10%
FOMX US Equity,#N/A Real Time Equity,FOMX #N/A Real Time Equity,FOAMIX PHARMACEU,"Consumer, Non-cyclical",Pharmaceuticals,Sec,pre,4/10/2015,4/14/2015,4/10/2015,3,Drug Development,BARC,COWN GUGG,1,6.45,6.45,no change,$60.00 ,$59.99 ,Primary,No,$9.30 ,62.68%,28.66%,"302,787",21.3,10.29,21.48,"552,584",1.82,5.37%,-0.09,$202.30 ,$173.79 ,$22.50 ,139%,$9.42 ,$9.24 ,,-1.91%,,,,-1.27%,0.65%,4/15/2015,$9.40 ,5,$9.30 ,"364,163",5.65%,$10.17 ,9.35%,8.19%,,$10.10 ,8.60%, NO ,$10.70 ,15.05%,13.83%,5.21%,,"4,029,569",62.47%,"4,034,746.00",62.60%
ZSPH US Equity,#N/A Real Time Equity,ZSPH #N/A Real Time Equity,ZS PHARMA INC,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,3/23/2015,3/24/2015,3/24/2015,1,Drug Development,JPM,CS,3,3.3,4.02,upsized,$152.63 ,$185.93 ,Primary,No,$46.25 ,30.17%,15.79%,0,#DIV/0!,10.94,20.9,"1,735,041",0,16.21%,1.18,$975.09 ,$881.95 ,$64.50 ,38%,$46.65 ,$46.46 ,,-0.41%,,,,-0.86%,-0.45%,3/25/2015,$46.59 ,5,$46.98 ,"189,858",4.72%,$47.14 ,1.92%,1.18%,,$41.86 ,-9.49%, YES ,$42.00 ,-9.19%,-9.85%,-10.90%,,"2,867,543",71.33%,"2,868,796.00",71.40%
AMAG US Equity,UW Equity,AMAG UW Equity,AMAG PHARMACEUTI,"Consumer, Non-cyclical",Biotechnology,Sec,post,2/24/2015,2/25/2015,2/25/2015,1,Drug Development,JPM,DB,2,2.84,3.98,upsized,$125.00 ,$175.12 ,Primary,No,$44.00 ,11.38%,11.09%,"1,282,335",2.22,24.97,29.59,"8,751,147",6.82,40.80%,1.24,"$1,131.71 ","$1,684.93 ",$54.50 ,23%,$44.18 ,$43.41 ,,-1.74%,,,,-0.41%,1.36%,2/26/2015,$45.07 ,5,$43.82 ,"455,208",11.44%,$45.72 ,3.91%,1.44%,,$45.49 ,3.39%, NO ,$49.46 ,12.41%,9.74%,8.18%,,"4,148,985",104.25%,"4,157,423.00",104.50%
PING US Equity,UN Equity,PING UN Equity,PING IDENTITY HO,Technology,Computers,Sec,post,7/6/2020,7/8/2020,7/7/2020,2,Selling SHs,GS,BAML CITI RBC,,7.5,8.98,upsized,$240.00 ,$287.36 ,Secondary,Yes,$32.00 ,30.30%,9.37%,"970,493",7.73,24.75,80.07,"3,808,788",3.92,15.39%,0.93,"$2,629.56 ","$2,620.74 ",$32.00 ,-3%,$32.84 ,$32.50 ,$35.76 ,-1.04%,9.29%,16.29%,8.89%,-2.56%,-1.54%,7/9/2020,$32.88 ,5.25,$32.04 ,"583,911",6.50%,$33.50 ,4.69%,1.89%,2.58%,$32.36 ,1.13%, NO ,$33.36 ,4.25%,1.46%,-0.42%,4.49%,"6,460,974",71.95%,"7,044,885.00",78.50%
ETNB US Equity,UQ Equity,ETNB UQ Equity,89BIO INC,"Consumer, Non-cyclical",Pharmaceuticals,Sec,pre ,7/6/2020,7/7/2020,7/6/2020,2,Drug Deelopment,BAML,RBC LEER,,2.2,2.65,upsized,$60.50 ,$72.88 ,Primary,No,$27.50 ,43.26%,16.62%,"147,293",14.94,5.09,13.79,"774,159",5.26,15.22%,1.08,$365.26 ,$271.93 ,$51.00 ,85%,$27.60 ,$26.32 ,$23.95 ,-4.64%,0.67%,-34.83%,-13.22%,-0.36%,4.48%,7/8/2020,$33.05 ,5.25,$30.51 ,"128,338",4.84%,$31.01 ,12.76%,-6.17%,0.88%,$29.00 ,5.45%, NO ,$30.96 ,12.58%,-6.32%,-0.16%,11.29%,"937,070",35.36%,"1,065,408.00",40.20%
RNR US Equity,UN Equity,RNR UUN Equity,RENAISSANCERE,Financial,Insurance,Sec,pre,6/2/2020,6/2/2020,6/2/2020,1,,MS,GS,,5.5,5.5,no change,$913.00 ,$913.00 ,Primary,No,$166.00 ,12.73%,12.49%,"570,027",9.65,43.21,44.03,"661,853",1.16,1.53%,0.87,"$7,261.58 ","$11,636.48 ",$185.00 ,12%,$164.91 ,$164.63 ,$175.67 ,-0.17%,-2.73%,4.38%,11.49%,0.66%,0.83%,6/3/2020,$173.53 ,5.25,$171.76 ,"182,327",3.32%,$175.01 ,5.43%,0.85%,1.13%,$174.75 ,5.27%, NO ,$186.64 ,12.43%,7.55%,6.65%,10.39%,"3,349,790",60.91%,"3,532,117.00",64.20%
ATRC US Equity,UQ Equity,ATRC UQ Equity,ATRICURE INC,"Consumer, Non-cyclical",Healthcare-Products,Sec,pre,5/11/2020,5/11/2020,5/11/2020,1,Drug Development,JPM ,PJ,,2.5,3.98,upsized,$110.00 ,$175.12 ,Primary,No,$44.00 ,6.45%,6.24%,"544,733",4.59,38.79,40.07,"926,823",1.7,2.39%,0.95,"$1,805.67 ","$1,850.61 ",$52.00 ,15%,$45.06 ,$45.00 ,$40.79 ,-0.13%,3.01%,-2.42%,-9.48%,-2.35%,-2.22%,5/12/2020,$46.03 ,5.25,$45.65 ,"133,759",3.36%,$46.00 ,4.55%,-0.07%,1.19%,$45.00 ,2.27%, NO ,$46.79 ,6.34%,1.65%,1.72%,7.33%,"3,135,220",78.77%,"3,268,979.00",82.10%
COLD US Equity,UN Equity,COLD UN Equity,AMERICOLD REALTY,Financial,REITS,Sec,post,2/27/2019,2/28/2019,2/28/2019,1,Selling SHs,BAML,GS,0,40.42,40.42,no change,"$1,121.66 ","$1,121.66 ",Secondary,Yes,$27.75 ,39.75%,27.17%,"2,240,823",18.04,101.7,148.79,"8,028,749",3.58,7.97%,0.41,"$4,175.16 ","$5,886.76 ",$31.50 ,12%,$28.06 ,$28.08 ,,0.07%,,,,-1.10%,-1.18%,3/1/2019,$28.75 ,5.25,$28.44 ,"1,158,392",2.87%,$28.60 ,3.06%,-0.52%,1.60%,$28.34 ,2.13%, NO ,$28.77 ,3.68%,0.07%,0.59%,3.36%,"19,052,104",47.14%,"20,210,496.00",50.00%
FLXN US Equity,UQ Equity,FLXN UQ Equity,FLEXION THERAPEU,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,10/10/2017,10/11/2017,10/11/2017,1,Drug Launch,WFC,RBC BMO ,0,4,4.8,upsized,$100.00 ,$122.40 ,Primary,No,$25.50 ,15.52%,12.54%,"471,701",8.48,25.78,31.91,"6,616,456",14.03,25.66%,1.8,$866.88 ,$726.42 ,$38.00 ,40%,$27.17 ,$26.56 ,,-2.25%,,,,-6.15%,-3.99%,10/12/2017,$26.21 ,5.25,$26.62 ,"497,444",10.36%,$26.26 ,2.98%,0.19%,,$25.61 ,0.43%, NO ,$25.76 ,1.02%,-1.72%,-1.90%,3.38%,"6,494,283",135.30%,"6,991,727.00",145.70%
TROX US Equity,UN Equity,TROX UN Equity,TRONOX LTD-CL A,Basic Materials,Chemicals,Sec,post,10/2/2017,10/4/2017,10/3/2017,2,Selling SHs,JPM,MS BARC,0,16,19.5,upsized,$352.00 ,$429.00 ,Secondary,No,$22.00 ,25.41%,13.36%,"1,421,072",11.26,62.98,68.59,"5,876,902",4.14,9.45%,2.51,"$2,585.30 ","$4,750.38 ",$19.50 ,-10%,$21.59 ,$21.00 ,,-2.73%,,,,1.90%,4.76%,10/5/2017,$23.75 ,5.25,$22.88 ,"2,785,789",14.29%,$23.87 ,8.50%,0.51%,,$23.34 ,6.09%, NO ,$24.86 ,13.00%,4.67%,4.15%,10.89%,"11,645,366",59.72%,"14,431,155.00",74.00%
GNMK US Equity,UQ Equity,GNMK UQ Equity,GENMARK DIAGNOST,"Consumer, Non-cyclical",Healthcare-Products,Sec,post,6/12/2017,6/13/2017,6/13/2017,1,Drug Development,JPM,BAML,0,5.42,6.38,upsized,$65.00 ,$74.97 ,Primary,No,$11.75 ,12.41%,11.50%,"249,319",21.73,43.65,47.09,"6,355,354",25.49,14.56%,1.15,$605.07 ,$598.00 ,$17.00 ,32%,$12.85 ,$12.50 ,,-2.72%,,,,-8.56%,-6.00%,6/14/2017,$11.82 ,5.25,$11.80 ,"413,588",6.48%,$12.50 ,6.38%,5.75%,,$11.94 ,1.62%, NO ,$12.20 ,3.83%,3.21%,-2.40%,3.63%,"2,892,840",45.34%,"3,306,428.00",51.80%
TRUE US Equity,UW Equity,TRUE UW Equity,TRUECAR INC,Communications,Internet,Sec,pre,4/24/2017,4/26/2017,4/24/2017,3,Selling SHs,GS,JPM RBC JMP ,4,8.5,9,upsized,$140.25 ,$148.50 ,Both,No,$16.50 ,15.84%,9.32%,"1,855,360",4.58,53.65,87.82,"23,326,277",17.24,43.48%,1.57,"$1,340.07 ","$1,254.54 ",$17.00 ,11%,$15.26 ,$15.06 ,,-1.31%,,,,8.13%,9.56%,4/27/2017,$16.74 ,5.25,$16.40 ,"700,414",7.78%,$17.10 ,3.64%,2.15%,,$16.95 ,2.70%, NO ,$17.57 ,6.48%,4.96%,2.75%,5.86%,"8,669,902",96.33%,"9,370,316.00",104.10%
TLND US Equity,UQ Equity,TLND UQ Equity,TALEND SA - ADR,Technology,Software,Sec,pre,3/13/2017,3/15/2017,3/13/2017,3,Selling SHs,GS,JPM CITI BARC,2,3.12,3.29,upsized,$88.80 ,$93.77 ,Secondary,Yes,$28.50 ,ADR,11.09%,"127,317",24.51,ADR,27.97,"522,792",4.11,ADR,0.87,$776.22 ,$685.35 ,$30.00 ,8%,$27.75 ,$27.51 ,,-0.86%,,,,2.70%,3.60%,3/16/2017,$28.77 ,5.25,$28.32 ,"191,514",5.82%,$30.00 ,5.26%,4.28%,,$29.01 ,1.79%, NO ,$29.34 ,2.95%,1.98%,-2.20%,6.22%,"2,382,389",72.41%,"2,573,903.00",78.20%
PACB US Equity,UW Equity,PACB UW Equity,PACIFIC BIOSCIEN,"Consumer, Non-cyclical",Biotechnology,Sec,post,9/10/2018,9/11/2018,9/11/2018,1,Drug Development,COWN,CANT,0,11.76,14.12,upsized,$50.00 ,$60.01 ,Primary,No,$4.25 ,9.72%,8.92%,"1,096,599",10.73,120.98,131.94,"9,402,535",8.57,7.77%,1.1,$620.13 ,$554.38 ,$4.15 ,-12%,$4.70 ,$4.45 ,,-5.32%,,,,-9.57%,-4.49%,9/12/2018,$4.57 ,5.5,$4.42 ,"739,537",5.24%,$4.75 ,11.76%,4.05%,1.07%,$4.62 ,8.71%, NO ,$4.86 ,14.35%,6.46%,2.32%,13.23%,"5,852,025",41.44%,"6,591,562.00",46.70%
BL US Equity,UW Equity,BL USUW Equity,BLACKLINE INC,Technology,Software,Sec,pre,5/22/2017,5/24/2017,5/22/2017,3,Selling SHs,GS,JPM,4,3.48,3.48,no change,$114.78 ,$114.84 ,Secondary,Yes ,$33.00 ,31.63%,6.70%,"261,382",13.31,11,51.37,"1,294,567",4.95,11.79%,1.1,"$1,660.79 ","$1,559.47 ",$37.50 ,16%,$32.33 ,$32.03 ,,-0.93%,,,,2.07%,3.03%,5/25/2017,$33.39 ,5.75,$32.87 ,"276,179",7.94%,$34.06 ,3.21%,2.01%,,$33.83 ,2.52%, NO ,$34.99 ,6.03%,4.79%,2.73%,5.80%,"2,662,567",76.51%,"2,938,746.00",84.40%
YNDX US Equity,UW Equity,YNDX UW Equity,YANDEX NV-A,Communications,Internet,Sec,post,6/23/2020,6/24/2020,6/24/2020,1,GCP,GS,,,5,8.12,upsized,$246.25 ,$399.91 ,Primary,No,$49.25 ,1.78%,1.53%,"3,460,786",1.44,280.31,290.55,"6,880,453",1.99,2.45%,1.02,"$16,056.43 ","$16,112.43 ",$45.60 ,-7%,$49.00 ,$49.92 ,$62.69 ,1.88%,1.31%,0.18%,27.94%,0.51%,-1.34%,6/25/2020,$50.30 ,6,$49.67 ,"618,127",7.61%,$50.10 ,1.73%,-0.40%,0.97%,$49.44 ,0.39%, NO ,$50.55 ,2.64%,0.50%,0.90%,1.92%,"6,715,550",82.70%,"7,333,677.00",90.30%
VICI US Equity,UN Equity,VICI UN Equity,VICI PROPERTIES,Financial,REITS,Sec,post,6/15/2020,6/16/2020,6/16/2020,1,Acq,MS,BAML DB GS,,22,26,upsized,$487.30 ,$575.90 ,Primary,No,$22.15 ,4.13%,4.12%,"4,681,823",4.7,532.8,559.67,"11,163,671",2.38,2.10%,1.15,"$12,183.63 ","$18,676.98 ",$24.00 ,5%,$22.83 ,$23.73 ,$23.71 ,3.94%,0.85%,19.38%,-2.30%,-2.98%,-6.66%,6/17/2020,$22.37 ,6,$22.41 ,"436,686",1.68%,$23.00 ,3.84%,2.82%,1.28%,$22.57 ,1.90%, NO ,$22.90 ,3.39%,2.37%,-0.43%,3.66%,"14,757,493",56.76%,"15,194,179.00",58.40%
FVRR US Equity,UN Equity,FVRR UN Equity,FIVERR INTERNATI,Communications,Internet,Sec,post,5/26/2020,5/28/2020,5/27/2020,2,GCP,JPM ,BAML CITI UBS,,1.75,2,upsized,$105.00 ,$120.00 ,Primary,No,$60.00 ,14.44%,5.48%,"693,290",2.52,12.12,31.94,"1,531,006",2.21,12.63%,0.92,"$1,991.64 ","$1,842.00 ",$54.00 ,-13%,$62.36 ,$59.38 ,$177.00 ,-4.78%,11.10%,11.66%,2.55%,-3.78%,1.04%,5/29/2020,$60.74 ,6,$57.82 ,"102,618",5.13%,$61.00 ,1.67%,0.43%,1.25%,$60.60 ,1.00%, NO ,$65.12 ,8.53%,7.21%,6.75%,6.98%,"1,747,006",87.35%,"1,849,624.00",92.50%
RPAY US Equity,UR Equity,RPAY UR Equity,REPAY HOLDINGS C,"Consumer, Non-cyclical",Commercial Services,Sec,post,5/26/2020,5/28/2020,5/27/2020,2,Synthetic Secondary,MS,CS BARC  ,,8,8,no change,$160.00 ,$160.00 ,Syn Sec,No,$20.00 ,23.28%,11.44%,"846,122",9.45,34.36,40.4,"6,206,691",7.34,18.06%,1.06,"$1,539.35 ","$1,753.09 ",$20.50 ,-7%,$22.02 ,$20.92 ,$24.83 ,-5.00%,3.26%,10.17%,18.76%,-9.17%,-4.40%,5/29/2020,$20.62 ,6,$20.43 ,"191,484",2.39%,$22.70 ,13.50%,10.09%,1.35%,$21.35 ,6.75%, NO ,$23.04 ,15.20%,11.74%,1.50%,13.02%,"3,617,492",45.22%,"3,808,976.00",47.60%
FSLY US Equity,UN Equity,FSLY UN Equity,FASTLY INC -CL A,Technology,Software,Sec,post,5/18/2020,5/20/2020,5/19/2020,2,GCP,MS,CITI BAML CS,,6,6,no change,$249.00 ,$249.00 ,Primary,No,$41.50 ,9.27%,6.23%,"3,372,801",1.78,64.75,72.7,"3,074,211",0.91,4.75%,1.11,"$3,760.52 ","$3,675.26 ",$32.00 ,-18%,$39.05 ,$38.37 ,$128.83 ,-1.74%,28.30%,54.71%,229.91%,6.27%,8.16%,5/21/2020,$42.54 ,6,$41.42 ,"429,802",7.16%,$41.00 ,-1.20%,-3.62%,3.13%,$40.26 ,-2.99%, YES ,$44.25 ,6.63%,4.02%,7.93%,2.93%,"11,028,201",183.80%,"11,458,003.00",191.00%
